Date : 2023-07-02 02:35:24
Directory : /home/cold/Documents/programming/rizz/uniclub/backend
Total : 80 files,  11042 codes, 1669 comments, 733 blanks, all 13444 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |      9,163 |          0 |          4 |      9,167 |
| PHP        |         67 |      1,781 |      1,638 |        689 |      4,108 |
| Markdown   |          1 |         45 |          0 |         22 |         67 |
| XML        |          1 |         29 |          2 |          1 |         32 |
| JavaScript |          4 |         20 |         23 |         11 |         54 |
| YAML       |          1 |          3 |          4 |          5 |         12 |
| CSS        |          2 |          1 |          2 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         80 |     11,042 |      1,669 |        733 |     13,444 |
| . (Files)                                                                                                                           |          8 |      9,250 |          6 |         34 |      9,290 |
| app                                                                                                                                 |         26 |        674 |        276 |        242 |      1,192 |
| app/Console                                                                                                                         |          1 |         15 |          7 |          6 |         28 |
| app/Exceptions                                                                                                                      |          1 |         17 |          9 |          5 |         31 |
| app/Http                                                                                                                            |         13 |        405 |         97 |        152 |        654 |
| app/Http (Files)                                                                                                                    |          1 |         40 |         21 |         10 |         71 |
| app/Http/Controllers                                                                                                                |          3 |        265 |         19 |        103 |        387 |
| app/Http/Controllers (Files)                                                                                                        |          2 |        177 |          5 |         78 |        260 |
| app/Http/Controllers/Api                                                                                                            |          1 |         88 |         14 |         25 |        127 |
| app/Http/Controllers/Api/Auth                                                                                                       |          1 |         88 |         14 |         25 |        127 |
| app/Http/Middleware                                                                                                                 |          9 |        100 |         57 |         39 |        196 |
| app/Models                                                                                                                          |          6 |        157 |        119 |         51 |        327 |
| app/Providers                                                                                                                       |          5 |         80 |         44 |         28 |        152 |
| bootstrap                                                                                                                           |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                                              |         16 |        572 |      1,154 |        298 |      2,024 |
| database                                                                                                                            |         14 |        294 |         97 |         60 |        451 |
| database/factories                                                                                                                  |          1 |         23 |         11 |          5 |         39 |
| database/migrations                                                                                                                 |         12 |        256 |         81 |         50 |        387 |
| database/seeders                                                                                                                    |          1 |         15 |          5 |          5 |         25 |
| public                                                                                                                              |          1 |         14 |         30 |         12 |         56 |
| resources                                                                                                                           |          4 |        122 |         23 |         32 |        177 |
| resources/css                                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| resources/js                                                                                                                        |          2 |          4 |         23 |          8 |         35 |
| resources/views                                                                                                                     |          1 |        118 |          0 |         23 |        141 |
| routes                                                                                                                              |          4 |         51 |         41 |         26 |        118 |
| tests                                                                                                                               |          4 |         41 |         10 |         19 |         70 |
| tests (Files)                                                                                                                       |          2 |         20 |          3 |         10 |         33 |
| tests/Feature                                                                                                                       |          1 |         11 |          4 |          5 |         20 |
| tests/Unit                                                                                                                          |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                                              |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie                                                                                                                       |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie/ignition                                                                                                              |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie/ignition/resources                                                                                                    |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie/ignition/resources/compiled                                                                                           |          2 |          7 |          2 |          1 |         10 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/cold/Documents/programming/rizz/uniclub/backend/.gitpod.yml                                                                   | YAML       |          3 |          4 |          5 |         12 |
| /home/cold/Documents/programming/rizz/uniclub/backend/README.md                                                                     | Markdown   |         45 |          0 |         22 |         67 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Console/Kernel.php                                                        | PHP        |         15 |          7 |          6 |         28 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Exceptions/Handler.php                                                    | PHP        |         17 |          9 |          5 |         31 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Controllers/Api/Auth/AuthController.php                              | PHP        |         88 |         14 |         25 |        127 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Controllers/Controller.php                                           | PHP        |          9 |          0 |          4 |         13 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Controllers/clubController.php                                       | PHP        |        168 |          5 |         74 |        247 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Kernel.php                                                           | PHP        |         40 |         21 |         10 |         71 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Middleware/Authenticate.php                                          | PHP        |         11 |          3 |          4 |         18 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Middleware/EncryptCookies.php                                        | PHP        |          8 |          6 |          4 |         18 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Middleware/PreventRequestsDuringMaintenance.php                      | PHP        |          8 |          6 |          4 |         18 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Middleware/RedirectIfAuthenticated.php                               | PHP        |         20 |          5 |          6 |         31 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Middleware/TrimStrings.php                                           | PHP        |         11 |          5 |          4 |         20 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Middleware/TrustHosts.php                                            | PHP        |         12 |          5 |          4 |         21 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Middleware/TrustProxies.php                                          | PHP        |         14 |         10 |          5 |         29 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Middleware/ValidateSignature.php                                     | PHP        |          8 |         11 |          4 |         23 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Http/Middleware/VerifyCsrfToken.php                                       | PHP        |          8 |          6 |          4 |         18 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Models/Event.php                                                          | PHP        |         23 |         19 |          8 |         50 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Models/FailedJob.php                                                      | PHP        |         20 |         16 |          7 |         43 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Models/Member.php                                                         | PHP        |         23 |         19 |          8 |         50 |
